speciesKey,state,direction,month,obs_count,mean_lat,mean_lon,individual_sum
2480491,gujarat,NW,12,1564,22.976150108056142,71.10900614130436,3346
2490274,gujarat,NW,2,749,22.833195141522054,70.99771271428556,1638
8028588,gujarat,NW,1,1343,22.594497773641173,70.82602506626968,6989
2498180,gujarat,NW,12,222,22.708650405405418,73.31320822972971,1698
5231244,gujarat,NW,2,1482,22.907300397435883,71.0300103481781,3851
5846290,gujarat,NW,10,1962,22.399001155963262,71.56155965290517,6915
2498036,gujarat,NW,1,2928,22.820507052253955,72.0702593794396,386964
2480495,gujarat,NW,12,2215,22.974639390970577,71.1895402261851,7402
5739359,gujarat,NW,2,634,22.621575845425806,72.34162804258663,1013
8000602,gujarat,NW,12,2137,22.572679504445404,71.69885418296695,181732
2480513,gujarat,NW,12,1290,23.149970355813903,71.02598098992236,5029
5846290,gujarat,NW,11,2287,22.504295374726613,71.55854695190186,7380
2490307,gujarat,NW,2,1456,22.574734764423138,71.67642961607145,4902
5739359,gujarat,NW,1,977,22.656908397134153,72.10727710337751,1534
2480637,gujarat,NW,2,314,22.600469802547767,71.69038133439484,341
5231238,gujarat,NW,2,599,23.26269330217027,70.15079000166942,1104
9566476,gujarat,NW,9,965,23.384049805181427,69.79599413782388,3882
5739315,gujarat,NW,12,1317,22.793011914198992,71.29575445861808,2008
2475419,gujarat,NW,9,2022,23.16758196686455,70.5823925257176,22653
5231244,gujarat,NW,1,2712,23.070406170722638,70.83064946312673,7775
2482054,gujarat,NW,11,384,22.456949653645868,70.39936599218764,1746
2480495,gujarat,NW,2,981,22.862139931702266,71.3738498837919,3089
5739315,gujarat,NW,2,1424,22.776528742977675,71.7129182275279,2201
2490307,gujarat,NW,11,809,22.667839121137213,71.44517501977765,2174
5846290,gujarat,NW,9,2198,23.01767359599639,70.50769459963615,4927
8000602,gujarat,NW,2,1834,22.538236779171175,71.79340443566022,166641
2480509,gujarat,NW,1,2189,22.788128693010425,71.58822385975351,4008
5231245,gujarat,NW,10,421,22.958864192399048,70.7882158147269,853
2480491,gujarat,NW,1,1256,22.92923480015917,71.1228028105095,2085
9701857,gujarat,NW,12,3917,22.622057125606172,71.66968442711219,24228
2480500,gujarat,NW,12,969,23.225709904024725,71.45370726728584,1431
9362027,gujarat,NW,10,229,22.61756207860263,71.23966631877732,2005
2498035,gujarat,NW,12,1820,22.844804785164786,72.16856016758324,101298
2474950,gujarat,NW,4,32,22.778698125000002,71.77403690624999,515
5231245,gujarat,NW,1,1267,23.07697183977899,70.6051890386743,2473
2492746,gujarat,NW,12,530,23.042367332075486,70.7283122207546,1167
2481912,gujarat,NW,12,292,23.057722958904087,71.17068098630135,872
2481912,gujarat,NW,2,158,22.879820974683568,71.31975420253163,850
9584952,gujarat,NW,1,365,22.012973263013688,71.18608852602739,546
2490681,gujarat,NW,12,2031,23.013855420974814,71.04246898769084,117825
2474936,gujarat,NW,1,1775,22.40929522647889,70.90341410985965,2965666
2474156,gujarat,NW,12,326,23.09039277607359,70.69751626380364,684
9613112,gujarat,NW,1,750,22.551921437333352,72.12740945066645,11237
2482054,gujarat,NW,4,99,22.31348689898991,70.58360883838384,1160
2498036,gujarat,NW,11,1261,22.844414172085674,71.98458169468721,157678
9761484,gujarat,NW,1,337,22.74750697329373,71.27491372106824,1158
9701857,gujarat,NW,10,1370,22.445354176642393,71.72683997445252,9847
5231245,gujarat,NW,12,1268,23.088617807570937,70.79045544637236,2429
2474936,gujarat,NW,2,1150,22.541102109565262,71.28858366695661,1668287
2492865,gujarat,NW,12,2649,22.87133021555289,71.0900741090974,4559
2498261,gujarat,NW,2,761,22.579034477003923,71.4841216938239,11308
2493137,gujarat,NW,12,1003,22.460577271186484,71.559604224327,1898
2490681,gujarat,NW,2,1437,22.934171977035408,71.21621087473909,290885
9566476,gujarat,NW,10,441,22.784265489795928,70.7661377777778,1886
2493091,gujarat,NW,11,663,22.71915249170436,71.74420871644044,1119
9362027,gujarat,NW,12,2587,22.54885115461918,71.75634446385762,130207
5231244,gujarat,NW,12,2828,23.11009658521916,70.89677489922195,8507
5739357,gujarat,NW,3,171,22.447400397660815,71.98859126315791,239
2498255,gujarat,NW,1,2477,22.5933342373839,71.41734843843352,202436
2480685,gujarat,NW,9,369,23.334893512195112,69.88481548780481,440
5739357,gujarat,NW,12,799,22.583190122653306,71.6025299549436,1147
2498255,gujarat,NW,11,806,22.532775898263015,71.36567545409427,22884
2490681,gujarat,NW,1,2014,23.00155209483606,71.00427844438957,195875
2492605,gujarat,NW,2,2000,22.394071254999954,72.26571153600025,3219
2491521,gujarat,NW,11,264,22.520154931818197,72.34171601136363,2310
2490669,gujarat,NW,11,1408,22.801239914772687,71.28941468963083,6383
5846290,gujarat,NW,1,3954,22.595708707890577,71.5358269873542,12249
